DATE,CRDQFIAHUBIS
1970-10-01,1.440
1971-01-01,1.506
1971-04-01,1.5730000000000002
1971-07-01,1.641
1971-10-01,1.709
1972-01-01,1.615
1972-04-01,1.521
1972-07-01,1.425
1972-10-01,1.330
1973-01-01,1.410
1973-04-01,1.4909999999999999
1973-07-01,1.5719999999999998
1973-10-01,1.6540000000000001
1974-01-01,2.191
1974-04-01,2.734
1974-07-01,3.283
1974-10-01,3.832
1975-01-01,3.862
1975-04-01,3.815
1975-07-01,3.790
1975-10-01,3.733
1976-01-01,3.852
1976-04-01,4.004
1976-07-01,4.138999999999999
1976-10-01,4.370
1977-01-01,4.442
1977-04-01,4.596
1977-07-01,4.8069999999999995
1977-10-01,5.103
1978-01-01,5.231
1978-04-01,5.454
1978-07-01,5.704
1978-10-01,6.057
1979-01-01,6.226
1979-04-01,6.495
1979-07-01,6.856
1979-10-01,7.367000000000001
1980-01-01,7.730
1980-04-01,8.124
1980-07-01,8.490
1980-10-01,8.732999999999999
1981-01-01,9.021
1981-04-01,9.421
1981-07-01,9.841000000000001
1981-10-01,10.280999999999999
1982-01-01,10.777000000000001
1982-04-01,11.275
1982-07-01,11.820
1982-10-01,12.199000000000002
1983-01-01,12.785
1983-04-01,13.290999999999999
1983-07-01,13.892000000000001
1983-10-01,14.186
1984-01-01,14.618
1984-04-01,15.079
1984-07-01,15.695
1984-10-01,16.285999999999998
1985-01-01,16.867
1985-04-01,17.285
1985-07-01,17.893
1985-10-01,18.735
1986-01-01,19.302
1986-04-01,20.120
1986-07-01,20.683000000000003
1986-10-01,21.175
1987-01-01,21.695999999999998
1987-04-01,22.714000000000002
1987-07-01,23.875999999999998
1987-10-01,25.073
1988-01-01,26.340999999999998
1988-04-01,27.790
1988-07-01,29.178
1988-10-01,32.116
1989-01-01,33.395
1989-04-01,34.731
1989-07-01,36.058
1989-10-01,36.597
1990-01-01,36.972
1990-04-01,37.888000000000005
1990-07-01,38.675
1990-10-01,38.530
1991-01-01,38.411
1991-04-01,38.513000000000005
1991-07-01,39.175
1991-10-01,39.158
1992-01-01,38.803000000000004
1992-04-01,38.547
1992-07-01,38.366
1992-10-01,37.698
1993-01-01,37.180
1993-04-01,36.802
1993-07-01,36.407
1993-10-01,35.455
1994-01-01,35.300
1994-04-01,34.838
1994-07-01,34.361
1994-10-01,34.037
1995-01-01,34.293
1995-04-01,34.565
1995-07-01,34.766999999999996
1995-10-01,34.163000000000004
1996-01-01,33.696999999999996
1996-04-01,33.382
1996-07-01,32.905
1996-10-01,32.703
1997-01-01,32.889
1997-04-01,33.012
1997-07-01,33.336
1997-10-01,33.174
1998-01-01,33.312
1998-04-01,33.972
1998-07-01,34.917
1998-10-01,35.603
1999-01-01,36.187
1999-04-01,37.441
1999-07-01,38.763000000000005
1999-10-01,39.622
2000-01-01,40.191
2000-04-01,41.156000000000006
2000-07-01,42.394
2000-10-01,43.120
2001-01-01,43.855
2001-04-01,44.769
2001-07-01,45.613
2001-10-01,46.352
2002-01-01,46.913999999999994
2002-04-01,48.257
2002-07-01,49.516999999999996
2002-10-01,51.324
2003-01-01,52.115
2003-04-01,54.086999999999996
2003-07-01,56.354
2003-10-01,57.777
2004-01-01,59.152
2004-04-01,61.658
2004-07-01,63.657
2004-10-01,65.796
2005-01-01,67.25399999999999
2005-04-01,70.115
2005-07-01,72.877
2005-10-01,76.305
2006-01-01,77.896
2006-04-01,80.885
2006-07-01,83.319
2006-10-01,85.934
2007-01-01,87.67299999999999
2007-04-01,90.402
2007-07-01,93.186
2007-10-01,95.256
2008-01-01,97.027
2008-04-01,99.56700000000001
2008-07-01,101.583
2008-10-01,102.255
2009-01-01,102.787
2009-04-01,104.22399999999999
2009-07-01,105.71700000000001
2009-10-01,107.314
2010-01-01,108.62299999999999
2010-04-01,110.79700000000001
2010-07-01,109.052
2010-10-01,110.824
2011-01-01,111.73200000000001
2011-04-01,113.67399999999999
2011-07-01,115.47399999999999
2011-10-01,116.90899999999999
2012-01-01,117.943
2012-04-01,120.102
2012-07-01,121.772
2012-10-01,122.669
2013-01-01,123.734
2013-04-01,124.336
2013-07-01,125.21799999999999
2013-10-01,125.71
2014-01-01,126.286
2014-04-01,127.42
2014-07-01,128.651
2014-10-01,129.239
2015-01-01,129.895
2015-04-01,131.507
2015-07-01,132.753
2015-10-01,133.82
2016-01-01,134.69
2016-04-01,136.846
2016-07-01,138.454
2016-10-01,139.486
2017-01-01,140.886
2017-04-01,142.564
2017-07-01,144.674
2017-10-01,145.763
2018-01-01,147.055
2018-04-01,149.139
2018-07-01,151.299
2018-10-01,152.278
2019-01-01,153.572
2019-04-01,155.554
2019-07-01,157.241
2019-10-01,157.851
2020-01-01,159.743
2020-04-01,161.15
2020-07-01,163.159
2020-10-01,164.358
2021-01-01,164.58599999999998
2021-04-01,166.78099999999998
2021-07-01,168.455
2021-10-01,170.382
2022-01-01,171.74200000000002
2022-04-01,173.225
2022-07-01,173.168
2022-10-01,174.588
2023-01-01,174.787
2023-04-01,175.38299999999998
2023-07-01,175.514
