DATE,QFIR628BIS
1970-01-01,52.7554
1970-04-01,53.3642
1970-07-01,53.382
1970-10-01,54.1536
1971-01-01,53.8171
1971-04-01,52.0226
1971-07-01,52.398999999999994
1971-10-01,52.3003
1972-01-01,54.3681
1972-04-01,53.5681
1972-07-01,52.824
1972-10-01,54.6682
1973-01-01,57.4522
1973-04-01,61.7737
1973-07-01,62.3609
1973-10-01,63.693000000000005
1974-01-01,64.5438
1974-04-01,64.7901
1974-07-01,62.8692
1974-10-01,61.8045
1975-01-01,58.6386
1975-04-01,56.5738
1975-07-01,55.0896
1975-10-01,55.1051
1976-01-01,53.7841
1976-04-01,52.2779
1976-07-01,51.8481
1976-10-01,51.1231
1977-01-01,49.1418
1977-04-01,48.6213
1977-07-01,46.8637
1977-10-01,46.1509
1978-01-01,46.6659
1978-04-01,46.5376
1978-07-01,45.243
1978-10-01,45.0554
1979-01-01,44.7534
1979-04-01,44.3539
1979-07-01,44.4213
1979-10-01,45.293
1980-01-01,46.2694
1980-04-01,45.8293
1980-07-01,46.4037
1980-10-01,45.3724
1981-01-01,46.868
1981-04-01,46.4625
1981-07-01,47.4414
1981-10-01,47.4988
1982-01-01,50.0684
1982-04-01,50.0447
1982-07-01,50.77
1982-10-01,52.7579
1983-01-01,56.0513
1983-04-01,55.7344
1983-07-01,56.978
1983-10-01,58.4732
1984-01-01,60.0529
1984-04-01,59.0698
1984-07-01,59.5255
1984-10-01,59.1963
1985-01-01,59.9044
1985-04-01,58.9534
1985-07-01,58.3819
1985-10-01,58.6048
1986-01-01,59.8983
1986-04-01,59.1062
1986-07-01,59.2354
1986-10-01,60.2855
1987-01-01,61.0184
1987-04-01,62.3302
1987-07-01,64.0891
1987-10-01,67.8676
1988-01-01,74.9981
1988-04-01,77.7538
1988-07-01,83.5736
1988-10-01,90.7907
1989-01-01,96.2057
1989-04-01,95.721
1989-07-01,93.9191
1989-10-01,90.3977
1990-01-01,86.4705
1990-04-01,85.5438
1990-07-01,83.3744
1990-10-01,79.8407
1991-01-01,73.1921
1991-04-01,71.3872
1991-07-01,68.1091
1991-10-01,64.0109
1992-01-01,61.4947
1992-04-01,57.7244
1992-07-01,53.5999
1992-10-01,50.352
1993-01-01,49.0632
1993-04-01,49.1218
1993-07-01,49.6397
1993-10-01,51.2361
1994-01-01,52.5087
1994-04-01,52.9558
1994-07-01,51.9496
1994-10-01,51.2828
1995-01-01,50.842
1995-04-01,50.1617
1995-07-01,49.1442
1995-10-01,49.0249
1996-01-01,49.6906
1996-04-01,51.2084
1996-07-01,52.9012
1996-10-01,54.9808
1997-01-01,58.8582
1997-04-01,60.3461
1997-07-01,61.001999999999995
1997-10-01,62.1769
1998-01-01,63.9745
1998-04-01,65.1458
1998-07-01,66.8414
1998-10-01,67.4812
1999-01-01,68.5455
1999-04-01,69.6589
1999-07-01,72.1263
1999-10-01,73.3315
2000-01-01,73.7069
2000-04-01,73.8911
2000-07-01,72.0934
2000-10-01,70.559
2001-01-01,70.4522
2001-04-01,70.1398
2001-07-01,69.8763
2001-10-01,70.1451
2002-01-01,72.4307
2002-04-01,74.1808
2002-07-01,75.1253
2002-10-01,75.0722
2003-01-01,75.998
2003-04-01,77.4488
2003-07-01,79.3576
2003-10-01,80.263
2004-01-01,82.4051
2004-04-01,84.2748
2004-07-01,84.2127
2004-10-01,84.4093
2005-01-01,86.2434
2005-04-01,88.3767
2005-07-01,89.8944
2005-10-01,91.6647
2006-01-01,92.4703
2006-04-01,93.5678
2006-07-01,94.0714
2006-10-01,94.9536
2007-01-01,96.5838
2007-04-01,97.1541
2007-07-01,97.1601
2007-10-01,96.6425
2008-01-01,96.0886
2008-04-01,95.6217
2008-07-01,93.6643
2008-10-01,90.1046
2009-01-01,92.7232
2009-04-01,94.1247
2009-07-01,95.8955
2009-10-01,98.0789
2010-01-01,99.6381
2010-04-01,99.7295
2010-07-01,100.9364
2010-10-01,99.6978
2011-01-01,99.6476
2011-04-01,100.6222
2011-07-01,99.98700000000001
2011-10-01,98.79
2012-01-01,99.2969
2012-04-01,99.4951
2012-07-01,99.3799
2012-10-01,99.2816
2013-01-01,99.5415
2013-04-01,99.303
2013-07-01,99.1486
2013-10-01,98.21700000000001
2014-01-01,98.0463
2014-04-01,98.199
2014-07-01,97.5806
2014-10-01,96.9307
2015-01-01,97.5758
2015-04-01,98.2222
2015-07-01,98.2029
2015-10-01,97.5637
2016-01-01,98.5894
2016-04-01,99.0892
2016-07-01,99.3389
2016-10-01,98.1322
2017-01-01,98.8126
2017-04-01,99.8801
2017-07-01,99.2484
2017-10-01,98.5103
2018-01-01,99.0566
2018-04-01,99.6786
2018-07-01,98.9346
2018-10-01,98.2704
2019-01-01,98.3059
2019-04-01,99.1298
2019-07-01,98.4861
2019-10-01,97.6029
2020-01-01,98.64299999999999
2020-04-01,100.0054
2020-07-01,99.8686
2020-10-01,100.904
2021-01-01,101.662
2021-04-01,103.3056
2021-07-01,102.4113
2021-10-01,101.2586
2022-01-01,100.0867
2022-04-01,98.9588
2022-07-01,96.2873
2022-10-01,90.8526
2023-01-01,87.6533
2023-04-01,87.3743
2023-07-01,84.4573
2023-10-01,83.5779
