Date,Price,Open,High,Low,Vol.,Change %
1/5/24,4626.75,4454.97,4733.36,4431.56,790.40M,3.84%
1/4/24,4455.78,4396.77,4538.21,4359.20,868.75M,1.51%
1/3/24,4389.41,4404.30,4447.89,4342.23,744.64M,-0.77%
1/2/24,4423.38,4528.69,4536.84,4331.04,739.55M,-2.76%
1/1/24,4548.79,4519.31,4610.71,4392.79,812.96M,0.73%
1/12/23,4515.97,4387.25,4565.85,4308.74,795.35M,3.13%
1/11/23,4379.01,4127.09,4397.48,4096.39,797.29M,6.31%
1/10/23,4118.91,4278.96,4325.07,3952.15,825.64M,-3.53%
1/9/23,4269.52,4378.41,4455.37,4181.44,604.34M,-2.50%
1/8/23,4378.95,4377.92,4408.76,4183.30,564.57M,-0.21%
1/7/23,4388.24,4429.78,4485.60,4335.88,685.81M,-0.72%
1/6/23,4419.87,4491.53,4705.21,4315.90,751.33M,-0.97%
1/5/23,4463.10,4759.42,4796.06,4460.67,800.81M,-6.04%
1/4/23,4749.99,4799.12,4849.17,4667.69,718.06M,-0.58%
1/3/23,4777.66,5027.51,5074.71,4525.67,1.04B,-4.96%
1/2/23,5027.02,4954.51,5092.68,4932.79,712.45M,1.79%
1/1/23,4938.44,4869.10,5073.93,4867.33,717.42M,2.34%
1/12/22,4825.44,4966.87,5041.85,4769.47,667.45M,-2.03%
1/11/22,4925.62,4636.66,4942.78,4572.80,717.57M,6.93%
1/10/22,4606.53,4348.67,4672.52,4314.12,812.01M,5.11%
1/9/22,4382.38,4666.22,4802.40,4269.42,1.27B,-6.80%
1/8/22,4701.92,4803.80,4914.30,4633.85,624.52M,-1.95%
1/7/22,4795.55,4466.80,4795.55,4430.23,770.10M,6.69%
1/6/22,4494.88,4878.93,4947.81,4458.67,780.17M,-7.50%
1/5/22,4859.16,4847.64,4997.27,4487.75,806.93M,-0.48%
1/4/22,4882.68,4885.39,5060.69,4802.49,793.90M,0.36%
1/3/22,4865.29,4856.19,5024.29,4140.33,1.34B,-0.54%
1/2/22,4891.77,5358.36,5436.19,4692.43,932.49M,-7.73%
1/1/22,5301.80,5581.33,5706.54,5085.87,804.61M,-4.85%
1/12/21,5571.97,5357.41,5627.86,5294.42,674.61M,5.11%
1/11/21,5301.07,5403.00,5566.92,5255.00,822.36M,-1.62%
1/10/21,5388.56,5267.94,5542.20,5250.34,774.90M,0.74%
1/9/21,5349.02,5709.27,5804.26,5300.88,889.16M,-5.66%
1/8/21,5669.94,5656.83,5731.26,5545.51,565.88M,0.78%
1/7/21,5626.26,5361.21,5693.03,5342.69,747.49M,5.52%
1/6/21,5331.77,5178.13,5396.92,5177.32,777.55M,3.37%
1/5/21,5157.91,5114.49,5240.73,5061.24,873.77M,0.75%
1/4/21,5119.75,4944.23,5222.26,4932.98,842.85M,3.83%
1/3/21,4930.97,4833.06,5014.46,4724.54,1.26B,2.96%
1/2/21,4789.27,4723.52,4938.49,4722.49,1.13B,1.14%
1/1/21,4735.39,4616.87,4957.97,4578.71,1.65B,3.25%
1/12/20,4586.15,4566.28,4634.22,4413.01,905.56M,0.47%
1/11/20,4564.66,4101.45,4624.11,4081.66,1.13B,12.51%
1/10/20,4057.00,4312.80,4484.96,4007.25,1.15B,-5.23%
1/9/20,4280.97,4329.63,4430.57,4192.01,1.04B,-0.65%
1/8/20,4308.80,4050.60,4361.35,4043.39,778.37M,5.63%
1/7/20,4078.96,3931.84,4248.09,3897.08,1.13B,3.86%
1/6/20,3927.39,4004.50,4150.38,3788.14,1.08B,-0.77%
1/5/20,3957.99,3613.23,4005.22,3457.73,960.36M,5.85%
1/4/20,3739.21,3276.53,3789.75,3235.29,1.18B,10.55%
1/3/20,3382.46,4134.42,4162.83,2823.45,2.07B,-15.99%
1/2/20,4026.23,4294.17,4590.94,3974.85,1.22B,-6.37%
1/1/20,4300.08,4224.83,4421.37,4204.50,1.03B,1.85%
1/12/19,4221.98,4060.51,4271.72,3986.05,715.37M,3.99%
1/11/19,4059.93,4093.14,4184.80,4047.13,866.72M,-0.79%
1/10/19,4092.37,4040.45,4152.46,3826.83,1.31B,1.29%
1/9/19,4040.16,3848.38,4087.59,3813.05,821.43M,4.97%
1/8/19,3848.88,3908.78,3924.80,3699.93,904.90M,-1.54%
1/7/19,3909.02,3958.27,4060.94,3870.42,868.54M,-1.25%
1/6/19,3958.34,3798.90,3982.57,3739.41,780.44M,4.20%
1/5/19,3798.90,4030.34,4031.17,3770.20,900.76M,-5.77%
1/4/19,4031.38,4032.99,4249.40,4030.61,818.22M,0.01%
1/3/19,4030.84,4077.42,4285.33,4012.76,1.02B,-1.13%
1/2/19,4076.99,3980.82,4145.49,3963.74,914.20M,2.37%
1/1/19,3982.68,3682.61,4071.20,3649.83,918.24M,8.07%
1/12/18,3685.16,3802.22,3905.35,3629.49,766.14M,-2.84%
1/11/18,3792.81,3958.89,4065.48,3776.80,826.39M,-4.23%
1/10/18,3960.23,4333.32,4341.26,3785.38,1.09B,-8.71%
1/9/18,4337.90,4353.14,4387.45,4184.71,723.23M,-0.36%
1/8/18,4353.74,4239.42,4403.99,4129.21,666.80M,2.71%
1/7/18,4239.01,4173.50,4321.18,4120.60,826.89M,1.39%
1/6/18,4180.94,4238.41,4356.95,4109.16,743.83M,-1.31%
1/5/18,4236.37,4165.24,4366.08,4105.29,867.67M,1.75%
1/4/18,4163.33,4008.93,4169.48,3912.07,917.69M,3.71%
1/3/18,4014.40,4125.78,4162.94,3931.05,921.00M,-2.75%
1/2/18,4128.05,4047.43,4192.12,3908.30,1.08B,2.13%
1/1/18,4042.01,3919.61,4129.43,3905.44,924.20M,3.17%
1/12/17,3917.97,3914.33,3962.04,3756.82,769.61M,0.09%
1/11/17,3914.40,4026.98,4082.61,3883.70,897.48M,-2.80%
1/10/17,4026.98,3976.23,4144.44,3975.95,922.10M,1.28%
