DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CB_E(1.0),26/04/24 23:00:00,A,FC,E7000,GWH,AL,1990,1682.000,
ESTAT:NRG_CB_E(1.0),26/04/24 23:00:00,A,FC,E7000,GWH,AL,1991,1275.000,
ESTAT:NRG_CB_E(1.0),26/04/24 23:00:00,A,FC,E7000,GWH,AL,1992,1407.000,
ESTAT:NRG_CB_E(1.0),26/04/24 23:00:00,A,FC,E7000,GWH,AL,1993,1650.000,
ESTAT:NRG_CB_E(1.0),26/04/24 23:00:00,A,FC,E7000,GWH,AL,1994,1838.000,
ESTAT:NRG_CB_E(1.0),26/04/24 23:00:00,A,FC,E7000,GWH,AL,1995,2025.000,
ESTAT:NRG_CB_E(1.0),26/04/24 23:00:00,A,FC,E7000,GWH,AL,1996,2762.000,
ESTAT:NRG_CB_E(1.0),26/04/24 23:00:00,A,FC,E7000,GWH,AL,1997,2104.000,
ESTAT:NRG_CB_E(1.0),26/04/24 23:00:00,A,FC,E7000,GWH,AL,1998,2236.000,
ESTAT:NRG_CB_E(1.0),26/04/24 23:00:00,A,FC,E7000,GWH,AL,1999,4335.000,
ESTAT:NRG_CB_E(1.0),26/04/24 23:00:00,A,FC,E7000,GWH,AL,2000,4264.000,
ESTAT:NRG_CB_E(1.0),26/04/24 23:00:00,A,FC,E7000,GWH,AL,2001,4072.000,
ESTAT:NRG_CB_E(1.0),26/04/24 23:00:00,A,FC,E7000,GWH,AL,2002,4534.000,
ESTAT:NRG_CB_E(1.0),26/04/24 23:00:00,A,FC,E7000,GWH,AL,2003,4431.000,
ESTAT:NRG_CB_E(1.0),26/04/24 23:00:00,A,FC,E7000,GWH,AL,2004,5334.000,
ESTAT:NRG_CB_E(1.0),26/04/24 23:00:00,A,FC,E7000,GWH,AL,2005,5228.000,
ESTAT:NRG_CB_E(1.0),26/04/24 23:00:00,A,FC,E7000,GWH,AL,2006,3663.000,
ESTAT:NRG_CB_E(1.0),26/04/24 23:00:00,A,FC,E7000,GWH,AL,2007,3670.000,
