DATAFLOW,LAST UPDATE,freq,product,consom,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,AT,2004-S1,0.1946,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,AT,2004-S2,0.1958,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,AT,2005-S1,0.1972,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,AT,2005-S2,0.1937,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,AT,2006-S1,0.1732,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,AT,2006-S2,0.1973,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,AT,2007-S1,0.2324,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,AT,2007-S2,0.2393,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BE,1985-S1,0.1990,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BE,1986-S1,0.2060,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BE,1987-S1,0.2034,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BE,1988-S1,0.2058,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BE,1989-S1,0.2055,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BE,1990-S1,0.2135,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BE,1991-S1,0.2149,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BE,1991-S2,0.2171,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BE,1992-S1,0.2186,
ESTAT:NRG_PC_204_H(1.0),28/05/21 23:00:00,S,6000,4161050,KWH,I_TAX,EUR,BE,1992-S2,0.2260,
