DATAFLOW,LAST UPDATE,freq,unit,hazard,nace_r2,waste,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,AT,2004,53020950,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,AT,2006,54286603,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,AT,2008,56308766,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,AT,2010,46799579,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,AT,2012,48045089,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,AT,2014,55868298,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,AT,2016,61225037,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,AT,2018,65666128,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,AT,2020,68906034,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BA,2012,4456556,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BA,2014,5540772,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BA,2016,6127022,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BA,2018,6747605,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BA,2020,6753458,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BE,2004,52809345,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BE,2006,59351721,e
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BE,2008,48621916,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BE,2010,61345803,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BE,2012,53839470,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BE,2014,57965392,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BE,2016,63152384,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BE,2018,68187479,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BE,2020,68061590,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BG,2004,201020467,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BG,2006,162881368,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BG,2008,167646316,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BG,2010,167396268,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BG,2012,161252166,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BG,2014,179677011,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BG,2016,120508475,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BG,2018,129751823,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,BG,2020,116387350,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,CY,2004,2241520,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,CY,2006,1248723,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,CY,2008,1842781,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,CY,2010,2372750,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,CY,2012,1875308,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,CY,2014,1978699,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,CY,2016,2467042,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,CY,2018,2302144,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,CY,2020,2221809,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,CZ,2004,29275743,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,CZ,2006,24745752,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,CZ,2008,25419695,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,CZ,2010,23757566,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,CZ,2012,23171358,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,CZ,2014,23394956,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,CZ,2016,25381426,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,CZ,2018,37847614,b
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,CZ,2020,38486186,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,DE,2004,364021937,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,DE,2006,363786069,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,DE,2008,372796355,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,DE,2010,363544995,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,DE,2012,368022172,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,DE,2014,387504241,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,DE,2016,400071672,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,DE,2018,405523624,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,DE,2020,401156266,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,DK,2004,12588952,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,DK,2006,14703138,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,DK,2008,15155208,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,DK,2010,16217736,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,DK,2012,16713822,
ESTAT:TEN00108(1.0),03/01/24 23:00:00,A,T,HAZ_NHAZ,TOTAL_HH,TOTAL,DK,2014,20808843,
